Participant,Medium_Mean_Deviation_px,Medium_SD_px,Low_Mean_Deviation_px,Low_SD_px
1,27.77,18.11,46.02,29.58
2,25.93,17.21,43.77,29.02
3,27.51,18.22,44.76,28.63
4,26.92,17.4,43.28,28.7
5,27.54,18.33,42.81,29.23
6,28.18,18.04,45.08,28.73
7,26.84,17.55,42.28,28.29
8,27.71,18.42,42.4,29.35
9,27.19,17.26,43.55,27.34
10,25.38,17.28,42.85,27.77
11,26.43,17.82,41.68,28.31
12,27.34,17.17,43.85,29.28
13,25.6,16.59,42.43,26.42
14,26.89,17.3,44.42,28.0
15,26.95,18.71,44.41,28.94
16,26.17,17.58,41.89,28.29
17,28.29,18.13,42.41,28.79
18,26.62,18.17,45.2,30.22
19,27.31,17.99,43.4,28.65
20,27.24,17.65,42.8,29.56
21,26.91,17.02,44.43,27.95
22,25.66,17.46,43.24,28.9
23,27.17,18.08,44.77,28.97
24,27.08,17.51,41.63,26.63
25,26.32,17.08,44.48,28.3
26,27.15,18.31,44.5,28.95
27,26.47,16.9,40.67,27.7
28,25.44,17.66,42.0,28.61
29,27.74,18.72,42.92,28.83
30,26.07,17.25,41.05,27.27
31,27.83,17.5,43.14,29.02
32,28.27,18.19,45.11,27.96
33,27.61,17.42,40.83,27.03
34,27.15,18.14,43.64,29.19
35,27.06,17.63,43.32,28.49
36,25.67,16.86,42.05,27.8
37,27.0,17.68,43.2,28.45
38,28.46,17.59,44.66,29.06
39,27.68,18.82,45.96,29.09
40,27.87,17.53,43.36,27.87
41,28.02,17.87,46.15,28.34
42,26.95,17.74,43.27,28.22
43,25.88,17.47,41.56,28.08
44,27.32,17.83,46.29,28.56
45,27.59,18.18,42.73,27.47
46,28.32,18.0,45.86,28.69
47,27.4,18.2,43.13,28.23
48,28.22,18.25,44.15,28.63
49,26.84,17.83,43.85,28.64
50,24.93,16.41,41.32,27.35
51,25.81,16.58,41.97,26.97
52,26.16,16.83,45.76,29.05
53,26.79,16.73,44.42,28.37
54,27.03,18.25,43.11,28.6
55,27.98,18.7,42.11,28.55
56,27.05,17.06,45.26,28.75
57,25.71,17.02,41.34,29.11
58,27.24,18.45,42.17,27.82
59,27.61,17.56,43.46,28.48
60,27.13,18.04,43.7,28.95
61,28.35,18.23,44.16,28.66
62,27.17,16.46,43.02,27.59
63,26.45,17.74,42.06,28.14
64,27.28,17.88,40.64,27.72
65,27.17,18.12,43.92,27.83
66,26.71,17.96,43.73,28.59
67,26.13,16.72,45.52,28.12
68,27.49,18.18,44.36,29.93
69,27.07,17.68,43.14,27.51
70,27.32,17.75,43.13,27.9
71,26.84,17.11,44.97,28.25
72,25.55,16.76,42.44,29.04
73,25.76,17.86,41.02,27.09
74,27.43,18.32,43.86,28.69
75,25.33,17.19,43.32,27.77
76,27.49,17.64,41.56,27.47
77,27.14,17.77,44.99,28.95
78,25.88,17.18,40.59,28.02
79,28.86,18.6,43.18,28.25
80,27.1,17.8,40.37,28.55
81,26.64,17.58,42.57,28.53
82,27.11,17.45,44.16,29.15
83,28.19,17.56,44.98,28.07
84,26.48,17.79,42.81,28.07
85,26.93,18.17,43.3,28.14
86,27.28,18.34,43.48,27.57
87,27.41,17.3,41.99,27.65
88,26.39,17.24,43.91,28.38
89,26.07,17.9,42.13,27.39
90,26.65,17.63,40.25,27.05
91,27.52,17.63,42.85,26.59
92,26.51,18.23,44.05,28.61
93,26.71,17.94,42.86,27.41
94,27.53,18.07,43.99,29.32
95,28.28,18.14,43.21,28.14
96,26.0,17.74,42.63,28.73
97,28.08,17.72,41.59,27.7
98,26.95,17.7,42.36,28.02
99,26.6,17.69,43.26,27.15
100,26.39,18.21,42.5,28.25
